IP,Port,Result,Classification,Timestamp,Details
192.168.100.97,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.849233,N/A
192.168.100.97,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.862161,N/A
192.168.100.91,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.850487,N/A
192.168.100.91,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.863867,N/A
192.168.100.82,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.850428,N/A
192.168.100.82,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.862352,N/A
192.168.100.101,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.848359,N/A
192.168.100.101,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.862413,N/A
192.168.100.77,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.848980,N/A
192.168.100.77,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.862469,N/A
192.168.100.43,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.848052,N/A
192.168.100.43,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.862519,N/A
192.168.100.39,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.848893,N/A
192.168.100.39,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.862575,N/A
192.168.100.104,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.849356,N/A
192.168.100.104,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.862642,N/A
192.168.100.60,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.847567,N/A
192.168.100.60,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.864198,N/A
192.168.100.112,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.848541,N/A
192.168.100.112,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.862696,N/A
192.168.100.69,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.847737,N/A
192.168.100.69,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.862804,N/A
